case,mode req,prescription dose/#,prescription point,isocentre point,override,collimator,gantry,SSD,couch,field size,wedge,meas,energy
1,FALSE,10/-/-,2,2,-,0,0,90,-,10 (SI) x 10 (LR),no wedge,-,"6,6FFF,10,10FFF,18"
2,FALSE,2/-/-,2,2,-,0,0,90,-,20 (SI) x 20 (LR),no wedge,-,"6,6FFF,10,10FFF,18"
3,FALSE,2/-/-,2,2,-,0,0,85,-,10 (SI) x 10 (LR),no wedge,-,"6,6FFF,10,10FFF,18"
4,FALSE,2/-/-,1,1,-,90,0,85,-,"12 (SI  8,4) x 12 (LR  7,5)",30 Heel RT,1,"6,6FFF,10,10FFF,18"
5,FALSE,2/-/-,1,1,-,90,0,85,-,"12 (SI  8,4) x 12 (LR  7,5)",no wedge,1,"6,6FFF,10,10FFF,18"
6,FALSE,2/-/-,1a,1,-,90,0,85,-,"10 (SI  5,5) x 6 (LR  6,0)",60 Heel RT,-,"6,6FFF,10,10FFF,18"
7,FALSE,2/-/-,1a,1,-,90,0,85,-,"10 (SI  5,5) x 6 (LR  6,0)",no wedge,-,"6,6FFF,10,10FFF,18"
8,FALSE,2/-/-,1,1,-,0,0,85,-,3 (SI) x 3 (LR),no wedge,1,"6,6FFF,10,10FFF,18"
9,FALSE,2/-/-,1,1,-,90,0,85,-,12 (SI) x 12 (LR),30 Heel RT,1,"6,6FFF,10,10FFF,18"
10,FALSE,2/-/-,1,1,-,90,0,85,-,12 (SI) x 12 (LR),no wedge,1,"6,6FFF,10,10FFF,18"
11,FALSE,2/-/-,1a,1,-,90,0,85,-,"10 (SI  5,5) x 6 (LR  6,0)",60 Heel RT,-,"6,6FFF,10,10FFF,18"
12,FALSE,2/-/-,1a,1,-,90,0,85,-,"10 (SI  5,5) x 6 (LR  6,0)",no wedge,-,"6,6FFF,10,10FFF,18"
13,FALSE,2/-/-,1,2,-,0,0,90,-,-,no wedge,-,"6,6FFF,10,10FFF,18"
14,TRUE,2/-/-,Cshape,1,-,*0,"150,60,0,300,210","?,?,85,?,?",-,-,no wedge,1,"6,6FFF,10,10FFF,18"
15,TRUE,2/-/-,CShape,1,-,*0,"150,60,0,300,210","?,?,85,?,?",-,-,no wedge,1,"6,6FFF,10,10FFF,18"
16,FALSE,400/4/MU,-,2,-,0,0,90,-,-,no wedge,-,"6,6FFF,10,10FFF,18"
